sentence;Intent;Cause;Effect;Causal association;tokenized;bio_tags
Some who are diabetic and immune comprised .;;diabetic;;0;['Some', 'who', 'are', 'diabetic', 'and', 'immune', 'comprised', '.'];['O', 'O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'O']
He died young , from diabetes .;;diabetes;died;1;['He', 'died', 'young', ',', 'from', 'diabetes', '.'];['O', 'I-E', 'O', 'O', 'O', 'I-C', 'O']
i had the nicest customer today who fully took 10 minutes to explain to me the differences between the insulin pumps she has used because I told her I was newly diagnosed with diabetes & looking for one for myself :pleading_face:;;diabetes;insulin pumps;1.0;['i', 'had', 'the', 'nicest', 'customer', 'today', 'who', 'fully', 'took', '10', 'minutes', 'to', 'explain', 'to', 'me', 'the', 'differences', 'between', 'the', 'insulin', 'pumps', 'she', 'has', 'used', 'because', 'I', 'told', 'her', 'I', 'was', 'newly', 'diagnosed', 'with', 'diabetes', '&', 'looking', 'for', 'one', 'for', 'myself', ':pleading_face:'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I have a glucose test in a few hours and it 's been on my mind all weekend :woozy_face:;;glucose test;on my mind;1.0;"['I', 'have', 'a', 'glucose', 'test', 'in', 'a', 'few', 'hours', 'and', 'it', ""'s"", 'been', 'on', 'my', 'mind', 'all', 'weekend', ':woozy_face:']";['O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O']
USER I read constant thirst could be a sign of diabetes but my bloodwork is fine , I do have latent hyperthyroidism so maybe I just metabolize water super fuckin fast and yes I piss completely clear water all the damn time :person_shrugging: but other than that i feel the same lmao;;diabetes;thirst;1.0;['USER', 'I', 'read', 'constant', 'thirst', 'could', 'be', 'a', 'sign', 'of', 'diabetes', 'but', 'my', 'bloodwork', 'is', 'fine', ',', 'I', 'do', 'have', 'latent', 'hyperthyroidism', 'so', 'maybe', 'I', 'just', 'metabolize', 'water', 'super', 'fuckin', 'fast', 'and', 'yes', 'I', 'piss', 'completely', 'clear', 'water', 'all', 'the', 'damn', 'time', ':person_shrugging:', 'but', 'other', 'than', 'that', 'i', 'feel', 'the', 'same', 'lmao'];['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
It 's no party being T1D with illnesses others might shrug off as a mere “ cold ” .;;T1D;no party;1;"['It', ""'s"", 'no', 'party', 'being', 'T1D', 'with', 'illnesses', 'others', 'might', 'shrug', 'off', 'as', 'a', 'mere', '“', 'cold', '”', '.']";['O', 'O', 'I-E', 'I-E', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER George , as fat as you are you probably have diabetes .;;fat;diabetes;1;['USER', 'George', ',', 'as', 'fat', 'as', 'you', 'are', 'you', 'probably', 'have', 'diabetes', '.'];['O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O']
USER USER Since he is obese and has heart disease I think he is diabetic and his blood sugar was to high !;"mC;mE";"obese;heart disease";"diabetic;blood sugar was to high";1.0;['USER', 'USER', 'Since', 'he', 'is', 'obese', 'and', 'has', 'heart', 'disease', 'I', 'think', 'he', 'is', 'diabetic', 'and', 'his', 'blood', 'sugar', 'was', 'to', 'high', '!'];['O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
So now I 'm very careful about what I eat .;;;careful about what I eat;0;"['So', 'now', 'I', ""'m"", 'very', 'careful', 'about', 'what', 'I', 'eat', '.']";['O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
My diabetic , overweight uncle says Jaggery is healthy and does n't cause weight gain but sugar does .;;sugar;weight gain;1;"['My', 'diabetic', ',', 'overweight', 'uncle', 'says', 'Jaggery', 'is', 'healthy', 'and', 'does', ""n't"", 'cause', 'weight', 'gain', 'but', 'sugar', 'does', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'I-C', 'O', 'O']
So jaggery > > sugar .;;sugar;;0;['So', 'jaggery', '>', '>', 'sugar', '.'];['O', 'O', 'O', 'O', 'O', 'O']
235 days in to my new low carb / fasting WOL .;;low carb / fasting;;0;['235', 'days', 'in', 'to', 'my', 'new', 'low', 'carb', '/', 'fasting', 'WOL', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O']
Type 2 diabetes is gone , HBP is gone .;;;Type 2 diabetes is gone;0;['Type', '2', 'diabetes', 'is', 'gone', ',', 'HBP', 'is', 'gone', '.'];['I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O']
"ALSO at least once a month I get literature about diabetes and weight loss from Medi cal because "" I 'm at risk of being pre diabetic , etc .";;;weight loss;0;"['ALSO', 'at', 'least', 'once', 'a', 'month', 'I', 'get', 'literature', 'about', 'diabetes', 'and', 'weight', 'loss', 'from', 'Medi', 'cal', 'because', '""', 'I', ""'m"", 'at', 'risk', 'of', 'being', 'pre', 'diabetic', ',', 'etc', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O']
hungry af and can't eat until after my glucose test in the morning :pensive_face:;;glucose test;can't eat;1.0;"['hungry', 'af', 'and', ""can't"", 'eat', 'until', 'after', 'my', 'glucose', 'test', 'in', 'the', 'morning', ':pensive_face:']";['O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O']
In memory of my mother in law , Rosemary Smith , who passed away in 2008 from complications arising from diabetes , I 'm swimming the ' channel ' at Gardyne and Carnoustie High School pools from March 2020 .;;complications arising from diabetes;passed away;1;"['In', 'memory', 'of', 'my', 'mother', 'in', 'law', ',', 'Rosemary', 'Smith', ',', 'who', 'passed', 'away', 'in', '2008', 'from', 'complications', 'arising', 'from', 'diabetes', ',', 'I', ""'m"", 'swimming', 'the', ""'"", 'channel', ""'"", 'at', 'Gardyne', 'and', 'Carnoustie', 'High', 'School', 'pools', 'from', 'March', '2020', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER I 've lost almost 30 pounds using mostly keto concepts after a diabetic diagnosis 5 weeks ago .;;keto concepts;lost almost 30 pounds;1;"['USER', 'I', ""'ve"", 'lost', 'almost', '30', 'pounds', 'using', 'mostly', 'keto', 'concepts', 'after', 'a', 'diabetic', 'diagnosis', '5', 'weeks', 'ago', '.']";['O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER I 'm diabetic !;;diabetic;;0;"['USER', 'I', ""'m"", 'diabetic', '!']";['O', 'O', 'O', 'I-C', 'O']
I 'm pretty limited on what I can eat now .;;;limited on what I can eat;0;"['I', ""'m"", 'pretty', 'limited', 'on', 'what', 'I', 'can', 'eat', 'now', '.']";['O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O']
So my blood pressure was 93 which is good cause the doctor said if it 's under 100 my mom do n't gotta worry about me getting diabetes;;blood pressure;diabetes;1.0;"['So', 'my', 'blood', 'pressure', 'was', '93', 'which', 'is', 'good', 'cause', 'the', 'doctor', 'said', 'if', 'it', ""'s"", 'under', '100', 'my', 'mom', 'do', ""n't"", 'gotta', 'worry', 'about', 'me', 'getting', 'diabetes']";['O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E']
so under a tory govt with a private NHS can I just say my dad a working class man with type one diabetes would literally have no choice but to die because he can't afford to pay for his insulin ( the average cost is $ 5,705 a month in the US ) and is forecast to be £ 2,000+ a month;;can't afford to pay;die;1.0;"['so', 'under', 'a', 'tory', 'govt', 'with', 'a', 'private', 'NHS', 'can', 'I', 'just', 'say', 'my', 'dad', 'a', 'working', 'class', 'man', 'with', 'type', 'one', 'diabetes', 'would', 'literally', 'have', 'no', 'choice', 'but', 'to', 'die', 'because', 'he', ""can't"", 'afford', 'to', 'pay', 'for', 'his', 'insulin', '(', 'the', 'average', 'cost', 'is', '$', '5,705', 'a', 'month', 'in', 'the', 'US', ')', 'and', 'is', 'forecast', 'to', 'be', '£', '2,000+', 'a', 'month']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I have to remember it a sugar that causes diabetes and I need water as well;;sugar;diabetes;1.0;['I', 'have', 'to', 'remember', 'it', 'a', 'sugar', 'that', 'causes', 'diabetes', 'and', 'I', 'need', 'water', 'as', 'well'];['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O']
my mom almost just died right in front of my eyes because of a diabetic reaction .;;diabetic reaction;almost just died;1;['my', 'mom', 'almost', 'just', 'died', 'right', 'in', 'front', 'of', 'my', 'eyes', 'because', 'of', 'a', 'diabetic', 'reaction', '.'];['O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
I 'll eat well and stay hydrated , diabetes and cholesterol wo n't kill me , so do n't be sad I love u ~ w HTTPURL;;diabetes;eat well;1.0;"['I', ""'ll"", 'eat', 'well', 'and', 'stay', 'hydrated', ',', 'diabetes', 'and', 'cholesterol', 'wo', ""n't"", 'kill', 'me', ',', 'so', 'do', ""n't"", 'be', 'sad', 'I', 'love', 'u', '~', 'w', 'HTTPURL']";['O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Failed my first glucose test :unamused_face: .;;Failed my first glucose test;;0;['Failed', 'my', 'first', 'glucose', 'test', ':unamused_face:', '.'];['I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O']
Now currently taking my 3 hour :pleading_face: .;;;taking my 3 hour;0;['Now', 'currently', 'taking', 'my', '3', 'hour', ':pleading_face:', '.'];['O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O']
USER USER You 're right , I do n't exactly LOVE my nonfunctional body that will die in 48hrs without exogenous insulin;;without exogenous insulin;die;1.0;"['USER', 'USER', 'You', ""'re"", 'right', ',', 'I', 'do', ""n't"", 'exactly', 'LOVE', 'my', 'nonfunctional', 'body', 'that', 'will', 'die', 'in', '48hrs', 'without', 'exogenous', 'insulin']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C']
They pack sugar into everything , so then when you 're a diabetic you can barely afford life saving insulin .;;sugar;diabetic;1.0;"['They', 'pack', 'sugar', 'into', 'everything', ',', 'so', 'then', 'when', 'you', ""'re"", 'a', 'diabetic', 'you', 'can', 'barely', 'afford', 'life', 'saving', 'insulin', '.']";['O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
y'all will forgive me if I fall asleep in the middle .;;;fall asleep;0;"[""y'all"", 'will', 'forgive', 'me', 'if', 'I', 'fall', 'asleep', 'in', 'the', 'middle', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O']
I am SO tired .;;tired;;0;['I', 'am', 'SO', 'tired', '.'];['O', 'O', 'O', 'I-C', 'O']
As an American diabetic , I feel like I 'm just waiting to die;;American diabetic;;0;"['As', 'an', 'American', 'diabetic', ',', 'I', 'feel', 'like', 'I', ""'m"", 'just', 'waiting', 'to', 'die']";['O', 'O', 'I-C', 'I-C', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E']
We , who need insulin are suffering .;;need insulin;suffering;1;['We', ',', 'who', 'need', 'insulin', 'are', 'suffering', '.'];['O', 'O', 'O', 'I-C', 'I-C', 'O', 'I-E', 'O']
I 've never felt so emotionally drained in my life .;;;emotionally drained;0;"['I', ""'ve"", 'never', 'felt', 'so', 'emotionally', 'drained', 'in', 'my', 'life', '.']";['O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O']
Insulin pump class full of T1D folks .;;T1D folks;;0;['Insulin', 'pump', 'class', 'full', 'of', 'T1D', 'folks', '.'];['O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
USER meanwhile the price of Insulin goes up to 350 .;;;price of Insulin goes up;0;['USER', 'meanwhile', 'the', 'price', 'of', 'Insulin', 'goes', 'up', 'to', '350', '.'];['O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O']
00 without insurance .;;without insurance;;0;['00', 'without', 'insurance', '.'];['O', 'I-C', 'I-C', 'O']
#MentalHealthAwarenessWeek people is dying cause suicide , and in my country they said that is about diabetes .;;suicide;dying;1;['#MentalHealthAwarenessWeek', 'people', 'is', 'dying', 'cause', 'suicide', ',', 'and', 'in', 'my', 'country', 'they', 'said', 'that', 'is', 'about', 'diabetes', '.'];['O', 'O', 'O', 'I-E', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
type 1 diabetic here and insulin is hella pricey , especially when you lose your job .;;lose your job;insulin is hella pricey;1;['type', '1', 'diabetic', 'here', 'and', 'insulin', 'is', 'hella', 'pricey', ',', 'especially', 'when', 'you', 'lose', 'your', 'job', '.'];['O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O']
35 years of diabetic .;;diabetic;;0;['35', 'years', 'of', 'diabetic', '.'];['O', 'O', 'O', 'I-C', 'O']
After several attempts like Palio , Keto I started intermittent fasting .;mE;;"Palio;Keto;intermittent fasting";0;['After', 'several', 'attempts', 'like', 'Palio', ',', 'Keto', 'I', 'started', 'intermittent', 'fasting', '.'];['O', 'O', 'O', 'O', 'I-E', 'O', 'I-E', 'O', 'O', 'I-E', 'I-E', 'O']
It was announced Diabetes was the major underlying health conditions that killed people with Covid .;;Diabetes;killed;1;['It', 'was', 'announced', 'Diabetes', 'was', 'the', 'major', 'underlying', 'health', 'conditions', 'that', 'killed', 'people', 'with', 'Covid', '.'];['O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O']
USER I just found out i a a diabetic n i am not ashamed of it n i tske meds for it;mE;diabetic;"not ashamed;meds";1.0;['USER', 'I', 'just', 'found', 'out', 'i', 'a', 'a', 'diabetic', 'n', 'i', 'am', 'not', 'ashamed', 'of', 'it', 'n', 'i', 'tske', 'meds', 'for', 'it'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O']
USER Yes i had no problem but my dr prescribed metphormine not to let my PCO give me diabetes too .;;PCO;diabetes;1.0;['USER', 'Yes', 'i', 'had', 'no', 'problem', 'but', 'my', 'dr', 'prescribed', 'metphormine', 'not', 'to', 'let', 'my', 'PCO', 'give', 'me', 'diabetes', 'too', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'O', 'O']
USER USER Have to pay for the insurance that is n't covered , as well as the insulin and supplies .;;insurance that isn't covered;pay;1.0;"['USER', 'USER', 'Have', 'to', 'pay', 'for', 'the', 'insurance', 'that', 'is', ""n't"", 'covered', ',', 'as', 'well', 'as', 'the', 'insulin', 'and', 'supplies', '.']";['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
His diabetes has worsened as he aged and had 4 toes amputated on one foot , yet he still worked .;;diabetes;toes amputated;1;['His', 'diabetes', 'has', 'worsened', 'as', 'he', 'aged', 'and', 'had', '4', 'toes', 'amputated', 'on', 'one', 'foot', ',', 'yet', 'he', 'still', 'worked', '.'];['O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER Hello brother USER he has diabetes which has symptoms of frequent urination;;diabetes;urination;1.0;['USER', 'Hello', 'brother', 'USER', 'he', 'has', 'diabetes', 'which', 'has', 'symptoms', 'of', 'frequent', 'urination'];['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E']
LMFAOOO MY MOM HAS A JOB AND CANT GET INSURANCE FOR HER OR ME I AM RUNNING OUT OF INSULIN .;;CANT GET INSURANCE;RUNNING OUT OF INSULIN;1;['LMFAOOO', 'MY', 'MOM', 'HAS', 'A', 'JOB', 'AND', 'CANT', 'GET', 'INSURANCE', 'FOR', 'HER', 'OR', 'ME', 'I', 'AM', 'RUNNING', 'OUT', 'OF', 'INSULIN', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
USER USER As a T1 , a total lack of insulin will put me in ICU in 12 hours , usually less .;;lack of insulin;ICU;1;['USER', 'USER', 'As', 'a', 'T1', ',', 'a', 'total', 'lack', 'of', 'insulin', 'will', 'put', 'me', 'in', 'ICU', 'in', '12', 'hours', ',', 'usually', 'less', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER I 'm a diabetic so I do n't have a choice .;;diabetic;;0;"['USER', 'I', ""'m"", 'a', 'diabetic', 'so', 'I', 'do', ""n't"", 'have', 'a', 'choice', '.']";['O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
They do n't like me drinking sugar free but I said oh well I 'm not giving it up period .;;;drinking sugar free;0;"['They', 'do', ""n't"", 'like', 'me', 'drinking', 'sugar', 'free', 'but', 'I', 'said', 'oh', 'well', 'I', ""'m"", 'not', 'giving', 'it', 'up', 'period', '.']";['O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I Failed My Prenatal Glucose Screening Test .;;Failed My Prenatal Glucose Screening Test;;0;['I', 'Failed', 'My', 'Prenatal', 'Glucose', 'Screening', 'Test', '.'];['O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O']
USER This was like 4 years ago and she is actually in diabetic shock , not drunk .;;diabetic;shock;1;['USER', 'This', 'was', 'like', '4', 'years', 'ago', 'and', 'she', 'is', 'actually', 'in', 'diabetic', 'shock', ',', 'not', 'drunk', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-E', 'O', 'O', 'O', 'O']
Nahhh they said my guy E was approaching 40 & lost his legs to diabetes HTTPURL;;diabetes;lost his legs;1.0;['Nahhh', 'they', 'said', 'my', 'guy', 'E', 'was', 'approaching', '40', '&', 'lost', 'his', 'legs', 'to', 'diabetes', 'HTTPURL'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'I-C', 'O']
USER I 'm diabetic I 'm diabetic H Y P O G L U C E M Y;;diabetic;H Y P O G L U C E M Y;1.0;"['USER', 'I', ""'m"", 'diabetic', 'I', ""'m"", 'diabetic', 'H', 'Y', 'P', 'O', 'G', 'L', 'U', 'C', 'E', 'M', 'Y']";['O', 'O', 'O', 'I-C', 'O', 'O', 'I-C', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E']
Omg just showed mi mam this to make her laugh and she said he 's wearing different shoes bcos of a diabetes related foot problem , it 's just clicked :exploding_head: :face_with_tears_of_joy:;;diabetes;foot problem;1.0;"['Omg', 'just', 'showed', 'mi', 'mam', 'this', 'to', 'make', 'her', 'laugh', 'and', 'she', 'said', 'he', ""'s"", 'wearing', 'different', 'shoes', 'bcos', 'of', 'a', 'diabetes', 'related', 'foot', 'problem', ',', 'it', ""'s"", 'just', 'clicked', ':exploding_head:', ':face_with_tears_of_joy:']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Living w / T1D is difficult , for instance I had to use more glucose test strips bc of recent fluctuating levels , & was just informed by Walgreens that if I want to refill early it would be $ 769 .;;T1D;glucose test strips;1;['Living', 'w', '/', 'T1D', 'is', 'difficult', ',', 'for', 'instance', 'I', 'had', 'to', 'use', 'more', 'glucose', 'test', 'strips', 'bc', 'of', 'recent', 'fluctuating', 'levels', ',', '&', 'was', 'just', 'informed', 'by', 'Walgreens', 'that', 'if', 'I', 'want', 'to', 'refill', 'early', 'it', 'would', 'be', '$', '769', '.'];['O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
“ My neurologist is fat shaming me ” that 's because when you 're diabetic and weigh 380 lbs your nerves die .;;diabetic;nerves die;1;"['“', 'My', 'neurologist', 'is', 'fat', 'shaming', 'me', '”', 'that', ""'s"", 'because', 'when', 'you', ""'re"", 'diabetic', 'and', 'weigh', '380', 'lbs', 'your', 'nerves', 'die', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O']
:pleading_face: :pensive_face: been a type 1 diabetic for almost 10 years now and I still suck at taking care of myself;;type 1 diabetic;taking care of myself;1.0;[':pleading_face:', ':pensive_face:', 'been', 'a', 'type', '1', 'diabetic', 'for', 'almost', '10', 'years', 'now', 'and', 'I', 'still', 'suck', 'at', 'taking', 'care', 'of', 'myself'];['O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E']
USER Most people I know with insulin can't afford to work full time because their company 's healthcare wo n't cover the cost , so they have to use medicaid to be able to afford something that keeps them alive .;mE;;"can't afford to work full time;medicaid";0;"['USER', 'Most', 'people', 'I', 'know', 'with', 'insulin', ""can't"", 'afford', 'to', 'work', 'full', 'time', 'because', 'their', 'company', ""'s"", 'healthcare', 'wo', ""n't"", 'cover', 'the', 'cost', ',', 'so', 'they', 'have', 'to', 'use', 'medicaid', 'to', 'be', 'able', 'to', 'afford', 'something', 'that', 'keeps', 'them', 'alive', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
having a grandmother with diabetes , she gets disoriented a lot .;;diabetes;disoriented;1;['having', 'a', 'grandmother', 'with', 'diabetes', ',', 'she', 'gets', 'disoriented', 'a', 'lot', '.'];['O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O']
Lose weight .;;Lose weight;;0;['Lose', 'weight', '.'];['I-C', 'I-C', 'O']
I have to win otherwise I risk Type 2 diabetes .;;;Type 2 diabetes;0;['I', 'have', 'to', 'win', 'otherwise', 'I', 'risk', 'Type', '2', 'diabetes', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O']
Dropped sugar and carbs cold turkey on October 24 , 2020 as I was labeled type 2 diabetic and had to fight off an ugly infection .;;type 2 diabetic;Dropped sugar;1;['Dropped', 'sugar', 'and', 'carbs', 'cold', 'turkey', 'on', 'October', '24', ',', '2020', 'as', 'I', 'was', 'labeled', 'type', '2', 'diabetic', 'and', 'had', 'to', 'fight', 'off', 'an', 'ugly', 'infection', '.'];['I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER #Insulin4all read the stories .;;;#Insulin4all;0;['USER', '#Insulin4all', 'read', 'the', 'stories', '.'];['O', 'I-E', 'O', 'O', 'O', 'O']
45 % of diabetics have rationed insulin .;;rationed insulin;;0;['45', '%', 'of', 'diabetics', 'have', 'rationed', 'insulin', '.'];['O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
